05/10/2023,14:57:01,34.0,23.0,16.04
05/10/2023,14:57:01,34.0,23.0,16.04
05/10/2023,14:57:02,34.0,23.0,16.04
05/10/2023,14:57:02,34.0,23.0,16.04
05/10/2023,14:57:02,34.0,23.0,15.29
05/10/2023,14:57:03,34.0,23.0,15.29
05/10/2023,14:57:03,34.0,23.0,15.29
05/10/2023,14:57:03,34.0,23.0,15.29
05/10/2023,14:57:04,34.0,23.0,15.29
05/10/2023,14:57:04,34.0,23.0,15.29
05/10/2023,14:57:04,34.0,23.0,15.29
05/10/2023,14:57:05,34.0,23.0,15.29
05/10/2023,14:57:05,34.0,23.0,15.29
05/10/2023,14:57:05,34.0,23.0,14.56
05/10/2023,14:57:06,34.0,23.0,14.56
05/10/2023,14:57:06,34.0,23.0,14.56
05/10/2023,14:57:06,34.0,23.0,14.56
05/10/2023,14:57:07,34.0,23.0,14.56
05/10/2023,14:57:07,34.0,23.0,14.56
05/10/2023,14:57:07,34.0,23.0,14.56
05/10/2023,14:57:08,34.0,23.0,14.56
05/10/2023,14:57:08,34.0,23.0,14.56
05/10/2023,14:57:08,34.0,23.0,13.86
05/10/2023,14:57:09,34.0,23.0,14.56
05/10/2023,14:57:09,34.0,23.0,13.86
05/10/2023,14:57:09,34.0,23.0,13.86
05/10/2023,14:57:10,34.0,23.0,13.86
05/10/2023,14:57:10,34.0,23.0,13.86
05/10/2023,14:57:10,34.0,23.0,13.86
05/10/2023,14:57:11,34.0,23.0,13.86
05/10/2023,14:57:11,34.0,23.0,13.86
05/10/2023,14:57:11,34.0,23.0,13.86
05/10/2023,14:57:12,34.0,23.0,13.86
05/10/2023,14:57:12,34.0,23.0,13.18
05/10/2023,14:57:12,34.0,23.0,13.18
05/10/2023,14:57:13,34.0,23.0,13.18
05/10/2023,14:57:13,34.0,23.0,13.18
05/10/2023,14:57:13,34.0,23.0,13.18
05/10/2023,14:57:14,34.0,23.0,13.18
05/10/2023,14:57:14,34.0,23.0,13.18
05/10/2023,14:57:14,34.0,23.0,13.86
